name,country,taxonomy,lat,lng
,,,,,
Agarwall Bina,,India ,Economics ,,
Ahn Sung-ho,Hanyang University,Korea ,Linguistics ,36.755867,126.30135
Ahn Jee-Won,,Korea ,,,
Ahn Kae-Hyun,Dongguk University,Korea ,Korean Buddhist Studies,32.8453598022461,-96.796989440918
Ahn Doohwan,Seoul National University ,Korea ,History ,37.4599990844727,126.949996948242
Aizawa Risa,Tohoku University ,Japan ,Religious Studies,38.9000015258789,140.682998657227
Akagi Kanji,Keio University ,Japan ,Political Science ,35.6491661071777,139.742782592773
Akita Minoru,International Christian University,Japan ,Education ,32.7077140808105,-97.3652877807617
Ali Tariq,University of Cambridge  (UK),,History ,52.2098007202148,0.111469998955727
An Deming,Chinese Academy of Social Sciences,China ,Religious Studies,34.0215530395508,-118.283737182617
An  Jee Hyun,Seoul National University ,Korea ,English Literature,37.4599990844727,126.949996948242
An Gwang Ho,Academy of Korean Studies ,Korea ,History ,42.7923316955566,-77.3426208496094
An Yelee,Yonsei University ,Korea ,Korean Linguistics,32.8453598022461,-96.796989440918
Anami Yusuke,Tohoku University ,Japan ,Political Science ,38.9000015258789,140.682998657227
Anand PK,"Institute of Chinese Studies, Delhi",India ,Chinese Studies,28.6429653167725,77.1158828735352
Ang Tian Se,University of Malaya,Malaysia,History of Science,24.03782081604,86.5390014648438
Aoki Tamotsu,Osaka University,Japan ,Anthropology,34.8191680908203,135.526672363281
Aoyama Waka,Hokkaido University ,Japan ,Southeast Asian Studies ,43.5393257141113,142.437515258789
Arimitsu Michio,Keio University ,,African American Studies,35.6491661071777,139.742782592773
Arkaraprasertkul Non,Harvard University,Thailand,Anthropology,42.3734741210938,-71.1179580688477
Arrault Alain,Ecole française d’Extrême­-Orient,France,History ,45.6496391296387,6.1678638458252
Asai Kiyoshi,Rikkyo University ,Japan ,Japanese Language ,32.8453598022461,-96.796989440918
Asaka Tadashi,Doshisha University ,Japan ,Roman History ,32.8453598022461,-96.796989440918
Asami Yasuhito,Harvard University,Japan ,Political Science ,42.3734741210938,-71.1179580688477
Asami Yoji,Osaka University,Japan ,Comparative Literature,34.8191680908203,135.526672363281
Asami Masakazu,Keio University ,Japan ,History ,35.6491661071777,139.742782592773
Asanuma Banri,Kyoto University,Japan ,Economics ,35.0262107849121,135.780838012695
Assavavirulhakarn Prapod,Chulalongkorn University,Thailand,Religious Studies,32.8453598022461,-96.796989440918
Audhini Venkatachalapathy,,India ,,,
Azuma Kentaro,Nagoya University ,Japan ,Anthropology,35.1506500244141,136.919036865234
Bae Gaehwa,Seoul National University ,Korea ,Korean Literature ,37.4599990844727,126.949996948242
Bae Jiwon,,Korea ,,,
Baeg Hyemin,Harvard University,Korea ,History of Medicine,42.3734741210938,-71.1179580688477
Bai Xiao-dong,Peking University ,China ,English Literature,39.9897232055664,116.305274963379
Bai Bin,Sichuan University,China ,Archaeology ,30.6250896453857,102.697280883789
Baik Inho,Sogang University ,Korea ,History ,37.5496406555176,126.924858093262
Baik Young-Seo,Hallym University ,Korea ,History ,32.8453598022461,-96.796989440918
Bak Sung-Yun,Sungkyunkwan University ,Korea ,Linguistics ,32.8453598022461,-96.796989440918
Bamo Qubumo,Chinese Academy of Social Sciences,China ,Folklore,34.0215530395508,-118.283737182617
Bamo Ayi,Minzu University of China,China ,Religious Studies,36.5631141662598,103.735809326172
Bang In,Kyungpook National University ,Korea ,Philosophy,32.9052963256836,-117.243560791016
Bang Yong-koo,Ewha Womans University,Korea ,English Literature,32.8453598022461,-96.796989440918
Banno Masataka,International Christian University,Japan ,Modern Chinese History,32.7077140808105,-97.3652877807617
Bao Zhiming,,China ,Sociology ,,
